"7.981696,",-0.265577
"7.982739,",-0.264116
"7.981681,",-0.26304
"7.982531,",-0.263429
"7.983202,",-0.26588
"7.987566,",-0.265851
"7.976932,",-0.265704
"7.977632,",-0.267205
"7.977845,",-0.270629
"7.976520,",-0.27013
"7.977290,",-0.268827
"7.979014,",-0.270275
"7.976051,",-0.27181
"7.975136,",-0.268628
"7.980909,",-0.266835
"7.976649,",-0.269024
"7.977384,",-0.266292
"7.973853,",-0.264753
"7.977526,",-0.263618
"7.979578,",-0.264991
"7.980956,",-0.260607
"7.982057,",-0.260657
"7.978442,",-0.264984
"7.982740,",-0.261931
"7.978664,",-0.262264
"7.983117,",-0.25773
"7.979143,",-0.258558
"7.976891,",-0.259761
"7.976199,",-0.261024
"7.979853,",-0.260066
"7.984758,",-0.262734
"7.979191,",-0.264017
"7.978178,",-0.264079
"7.978479,",-0.265389
"7.977758,",-0.266458
"7.975328,",-0.265048
"7.978643,",-0.268822
"7.976299,",-0.267704
"7.973159,",-0.267008
"7.976902,",-0.269269
"7.976840,",-0.268248
"7.976444,",-0.263962
"7.978778,",-0.262675
"7.972363,",-0.26121
"7.972483,",-0.262691
"8.014057,",-0.237845
"8.028655,",-0.225356
"8.042155,",-0.221205
"8.049765,",-0.222127
"8.066407,",-0.220597
"8.068933,",-0.21721
"8.107341,",-0.224374
"8.127152,",-0.228386
"8.130198,",-0.237447
"8.143002,",-0.237368
"8.148442,",-0.24151
"8.153073,",-0.242465
"8.216573,",-0.250603
"8.240644,",-0.26064
"8.249216,",-0.267058
"8.257552,",-0.268653
"8.266095,",-0.270197
"8.268377,",-0.267063
"8.271465,",-0.269476
"8.326571,",-0.267257
"8.352500,",-0.264398
"8.364535,",-0.262119
"8.374627,",-0.260909
"8.398980,",-0.253569
"8.416233,",-0.245159
"8.452258,",-0.237177
"8.472070,",-0.23259
"8.491900,",-0.221194
"8.522865,",-0.211053
"8.555811,",-0.198894
"8.581898,",-0.187122
"8.585015,",-0.180392
"8.597430,",-0.167527
"8.633449,",-0.145233
"8.647302,",-0.130357
"8.684139,",-0.109014
"8.707909,",-0.085463
"8.729180,",-0.059086
"8.746082,",-0.030461
"8.752256,",-0.009351
"8.761433,",0.00319
"8.770800,",0.006204
"8.785015,",0.007883
"8.799087,",0.013667
"8.847474,",0.008593
